Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.6749829879135258
75% Corpus,2,0.01,0.31,0.6953160149266453
75% Corpus,2,0.01,0.61,0.6840461787416219
75% Corpus,2,0.01,0.9099999999999999,0.6840461787416219
75% Corpus,2,0.01,symmetric,0.6970548225917363
75% Corpus,2,0.31,0.01,0.6883523463313381
75% Corpus,2,0.31,0.31,0.6876398937889541
75% Corpus,2,0.31,0.61,0.6882283599421432
75% Corpus,2,0.31,0.9099999999999999,0.68907009585525
75% Corpus,2,0.31,symmetric,0.68907009585525
75% Corpus,2,0.61,0.01,0.6936061613330031
75% Corpus,2,0.61,0.31,0.7027242690388822
75% Corpus,2,0.61,0.61,0.7010909149569338
75% Corpus,2,0.61,0.9099999999999999,0.7010909149569338
75% Corpus,2,0.61,symmetric,0.6836022129917562
75% Corpus,2,0.9099999999999999,0.01,0.690020380825491
75% Corpus,2,0.9099999999999999,0.31,0.6966546218048393
75% Corpus,2,0.9099999999999999,0.61,0.693942432312354
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.729580289520851
75% Corpus,2,0.9099999999999999,symmetric,0.7009958722584521
75% Corpus,2,symmetric,0.01,0.7002684845458984
75% Corpus,2,symmetric,0.31,0.7066169823255432
75% Corpus,2,symmetric,0.61,0.7010909149569338
75% Corpus,2,symmetric,0.9099999999999999,0.7011380836706056
75% Corpus,2,symmetric,symmetric,0.6882283599421433
75% Corpus,2,asymmetric,0.01,0.6645134844561709
75% Corpus,2,asymmetric,0.31,0.6931658963750991
75% Corpus,2,asymmetric,0.61,0.6965066437139278
75% Corpus,2,asymmetric,0.9099999999999999,0.6879081599057393
75% Corpus,2,asymmetric,symmetric,0.6937948821128087
75% Corpus,3,0.01,0.01,0.6650520079400685
75% Corpus,3,0.01,0.31,0.6524874430337513
75% Corpus,3,0.01,0.61,0.6479545928027218
75% Corpus,3,0.01,0.9099999999999999,0.6550772961667986
75% Corpus,3,0.01,symmetric,0.6504864143975115
75% Corpus,3,0.31,0.01,0.6556995193676406
75% Corpus,3,0.31,0.31,0.6499318672221377
75% Corpus,3,0.31,0.61,0.6352648744361857
75% Corpus,3,0.31,0.9099999999999999,0.6482324682174964
75% Corpus,3,0.31,symmetric,0.6599743752511679
75% Corpus,3,0.61,0.01,0.6985361444898536
75% Corpus,3,0.61,0.31,0.6895085159449952
75% Corpus,3,0.61,0.61,0.6835213419996093
75% Corpus,3,0.61,0.9099999999999999,0.6719257902233918
75% Corpus,3,0.61,symmetric,0.6870484290326372
75% Corpus,3,0.9099999999999999,0.01,0.6763424099239517
75% Corpus,3,0.9099999999999999,0.31,0.6913311518634006
75% Corpus,3,0.9099999999999999,0.61,0.6918934369959789
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.6731997127058497
75% Corpus,3,0.9099999999999999,symmetric,0.6929074400545532
75% Corpus,3,symmetric,0.01,0.6662519513661729
75% Corpus,3,symmetric,0.31,0.6624233334338895
75% Corpus,3,symmetric,0.61,0.6472383209743618
75% Corpus,3,symmetric,0.9099999999999999,0.6311981379984275
75% Corpus,3,symmetric,symmetric,0.6584265375015012
75% Corpus,3,asymmetric,0.01,0.7097719227738309
75% Corpus,3,asymmetric,0.31,0.7265403031261829
75% Corpus,3,asymmetric,0.61,0.7362447771060451
75% Corpus,3,asymmetric,0.9099999999999999,0.7240986222142741
75% Corpus,3,asymmetric,symmetric,0.7313432986973488
75% Corpus,4,0.01,0.01,0.6515723513453976
75% Corpus,4,0.01,0.31,0.6576711832644832
75% Corpus,4,0.01,0.61,0.6448998944643209
75% Corpus,4,0.01,0.9099999999999999,0.6451468929886993
75% Corpus,4,0.01,symmetric,0.6595639871481237
75% Corpus,4,0.31,0.01,0.6909457670171639
75% Corpus,4,0.31,0.31,0.7108492995865059
75% Corpus,4,0.31,0.61,0.6912974883705587
75% Corpus,4,0.31,0.9099999999999999,0.6797629787147981
75% Corpus,4,0.31,symmetric,0.7017954995681064
75% Corpus,4,0.61,0.01,0.6808675939738685
75% Corpus,4,0.61,0.31,0.6921834921026224
75% Corpus,4,0.61,0.61,0.6790241543756237
75% Corpus,4,0.61,0.9099999999999999,0.6899599301056814
75% Corpus,4,0.61,symmetric,0.669543871988735
75% Corpus,4,0.9099999999999999,0.01,0.6692409653358616
75% Corpus,4,0.9099999999999999,0.31,0.6622144322498427
75% Corpus,4,0.9099999999999999,0.61,0.6670931200154409
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.6835179125497729
75% Corpus,4,0.9099999999999999,symmetric,0.6597935560439865
75% Corpus,4,symmetric,0.01,0.6670146175972949
75% Corpus,4,symmetric,0.31,0.6684006032143958
75% Corpus,4,symmetric,0.61,0.6620751841569144
75% Corpus,4,symmetric,0.9099999999999999,0.634530566624074
75% Corpus,4,symmetric,symmetric,0.6783434343893104
75% Corpus,4,asymmetric,0.01,0.7322102769628669
75% Corpus,4,asymmetric,0.31,0.7315774603104355
75% Corpus,4,asymmetric,0.61,0.6574605602997589
75% Corpus,4,asymmetric,0.9099999999999999,0.6578870309641867
75% Corpus,4,asymmetric,symmetric,0.7209981191282806
75% Corpus,5,0.01,0.01,0.6690036456060477
75% Corpus,5,0.01,0.31,0.6611171054547325
75% Corpus,5,0.01,0.61,0.6579830473944126
75% Corpus,5,0.01,0.9099999999999999,0.6252886909063836
75% Corpus,5,0.01,symmetric,0.660484514234499
75% Corpus,5,0.31,0.01,0.6870173856821796
75% Corpus,5,0.31,0.31,0.6863303450479925
75% Corpus,5,0.31,0.61,0.665888186204378
75% Corpus,5,0.31,0.9099999999999999,0.6517161248064571
75% Corpus,5,0.31,symmetric,0.6732657379354835
75% Corpus,5,0.61,0.01,0.6721379432436149
75% Corpus,5,0.61,0.31,0.67155787362875
75% Corpus,5,0.61,0.61,0.6838356451274847
75% Corpus,5,0.61,0.9099999999999999,0.6916312901783555
75% Corpus,5,0.61,symmetric,0.6979026225695388
75% Corpus,5,0.9099999999999999,0.01,0.6753625340418289
75% Corpus,5,0.9099999999999999,0.31,0.6459839794586478
75% Corpus,5,0.9099999999999999,0.61,0.6339344164185586
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.6470263271443575
75% Corpus,5,0.9099999999999999,symmetric,0.679898631490393
75% Corpus,5,symmetric,0.01,0.6897069562285914
75% Corpus,5,symmetric,0.31,0.6750419011626011
75% Corpus,5,symmetric,0.61,0.6620689999498947
75% Corpus,5,symmetric,0.9099999999999999,0.6567744770224226
75% Corpus,5,symmetric,symmetric,0.6726145931202009
75% Corpus,5,asymmetric,0.01,0.7200915249250021
75% Corpus,5,asymmetric,0.31,0.7136405503400646
75% Corpus,5,asymmetric,0.61,0.6778469096564067
75% Corpus,5,asymmetric,0.9099999999999999,0.6666568467429522
75% Corpus,5,asymmetric,symmetric,0.713613214008325
75% Corpus,6,0.01,0.01,0.6748054414386883
75% Corpus,6,0.01,0.31,0.6611444305776448
75% Corpus,6,0.01,0.61,0.6194595032340536
75% Corpus,6,0.01,0.9099999999999999,0.6332702425578725
75% Corpus,6,0.01,symmetric,0.6500262139938475
75% Corpus,6,0.31,0.01,0.6656312049200517
75% Corpus,6,0.31,0.31,0.6677176019160244
75% Corpus,6,0.31,0.61,0.6641947062688495
75% Corpus,6,0.31,0.9099999999999999,0.6411885434210965
75% Corpus,6,0.31,symmetric,0.6711986925581708
75% Corpus,6,0.61,0.01,0.6917133214211666
75% Corpus,6,0.61,0.31,0.6824718080895962
75% Corpus,6,0.61,0.61,0.661718964793437
75% Corpus,6,0.61,0.9099999999999999,0.649669812641099
75% Corpus,6,0.61,symmetric,0.677278569516557
75% Corpus,6,0.9099999999999999,0.01,0.66672354903518
75% Corpus,6,0.9099999999999999,0.31,0.6479865276106328
75% Corpus,6,0.9099999999999999,0.61,0.657139356837319
